Species;Slope;Standard Error;Family
Aglais io;-7.100041763;0.310106422;Nymphalidae
Aglais urticae;-4.498209166;0.331459796;Nymphalidae
Anthocharis cardamines;-4.712682562;0.433396131;Pieridae
Apatura iris;-3.433043719;1.174778078;Nymphalidae
Aphantopus hyperantus;-0.417172276;0.464554999;Nymphalidae
Aporia crataegi;-3.748325601;0.758590882;Pieridae
Araschnia levana;-3.024144772;0.475884353;Nymphalidae
Argynnis aglaja;-1.465562801;1.250492648;Nymphalidae
Argynnis paphia;-1.165576542;0.443084575;Nymphalidae
Aricia agestis;1.830608829;0.834791288;Lycaenidae
Boloria selene;-2.764566362;1.469515017;Nymphalidae
Brenthis ino;-1.900271504;1.710579198;Nymphalidae
Callophrys rubi;-4.088703199;1.114625201;Lycaenidae
Carterocephalus palaemon;-2.55145896;0.890521777;Hesperiidae
Celastrina argiolus;-3.277859807;0.649513592;Lycaenidae
Coenonympha arcania;-3.588645241;0.97398946;Nymphalidae
Coenonympha pamphilus;-1.124629485;0.406929903;Nymphalidae
Colias hyale;4.24168515;0.79625999;Pieridae
Cupido minimus;-1.206337819;0.994835963;Lycaenidae
Cyaniris semiargus;1.531755347;0.89139521;Lycaenidae
Erebia ligea;1.770388611;1.068487895;Nymphalidae
Erynnis tages;-0.942757456;0.995239448;Hesperiidae
Gonepteryx rhamni;-4.717663834;0.316835944;Pieridae
Hamearis lucina;-2.679655164;1.564386328;Riodinidae
Hesperia comma;2.153770145;1.790740197;Hesperiidae
