Study Ref;Taxon;Effect size (day/degree increase);Precision (SE);Sample size (Years);Sample Size (Sites);SamplesTotal;(Country);Moderator 3 (phenological measure);Moderator 4 (Analysis type);(Years);p-value;Moderator(Latitude);Moderator(Years);Moderator(Voltinism)
1;Thymelicus sylvestris;-4.9;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Ochlodes venata;-5.1;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Erynnis tages;-6.2;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Pyrgus malvae;0.7;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Anthocharis cardamines;-1.7;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Callophrys rubi;-1.8;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Quercusia quercus;-2.1;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Lysandra coridon;-7.7;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Limenitis camilla;-4.8;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Clossiana selene;-1.9;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.01;;;
1;Clossiana euphrosyne;-1.9;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Argynnis aglaja;-0.3;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.01;;;
1;Argynnis paphia;-5.9;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.01;;;
1;Melanargia galathea;-4.7;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Hipparchia semele;-3.3;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.01;;;
1;Pyronia tithonus;-7;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Maniola jurtina;-4.7;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Aphantopus hyperantus;-3;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Gonepteryx rhamni;-4.4;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.01;;;
1;Inachis io;-6.6;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Pieris brassicae;-9.3;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Pieris napi;-0.4;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Pieris rapae;-3.9;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Lycaena phlaeas;-2.4;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.05;;;
1;Aricia agestis;-3.7;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.05;;;
1;Polyommatus icarus;-2.5;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.01;;;
1;Lysandra bellargus;-11.8;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Celastrina argiolus;;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;;;;
1;Vanessa atalanta;-9.2;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Cynthia cardui;;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;;;;
1;Aglais urticae;-1.9;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.05;;;
1;Polygonia c-album;-5.4;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Pararge aegeria;-10.2;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
1;Lasiommata megera;-8.2;;23;;23;Britain;Appearance Mean First;Temporal;1976–1998;0.001;;;
